,DateTime,Open,High,Low,Close,Volume
39066,2024-03-07 16:01:00,927.5,928.6499,927.5,928.06,11748
39067,2024-03-07 16:02:00,928.35,928.65,927.46,927.46,11832
39068,2024-03-07 16:03:00,927.4501,927.9039,927.05,927.45,3641
39069,2024-03-07 16:04:00,927.25,927.5,927.11,927.25,7150
39070,2024-03-07 16:05:00,927.25,927.35,923.0,924.0,42444
39071,2024-03-07 16:06:00,923.71,926.05,923.7,925.0,7316
39072,2024-03-07 16:07:00,925.0,925.8315,924.37,924.5,9205
39073,2024-03-07 16:08:00,924.35,924.7,923.0,923.668,12149
39074,2024-03-07 16:09:00,923.525,926.69,923.525,924.39,10314
39075,2024-03-07 16:10:00,924.18,924.1959,923.35,923.35,7954
39076,2024-03-07 16:11:00,923.25,923.53,922.5,922.5,21837
39077,2024-03-07 16:12:00,922.37,922.9999,922.37,922.4,6047
39078,2024-03-07 16:13:00,922.5,923.5,922.43,923.5,4301
39079,2024-03-07 16:14:00,922.8,923.4999,922.5,923.0,7021
39080,2024-03-07 16:15:00,923.0,923.0,916.0,916.07,60459
39081,2024-03-07 16:16:00,915.8,918.7645,914.0,914.01,35416
39082,2024-03-07 16:17:00,914.1,920.86,914.05,920.79,32941
39083,2024-03-07 16:18:00,920.86,926.5,920.0,923.0,45535
39084,2024-03-07 16:19:00,922.87,924.69,920.0,920.05,22094
39085,2024-03-07 16:20:00,920.0,926.69,919.86,921.9,47760
39086,2024-03-07 16:21:00,921.659,921.9545,919.75,919.75,13619
39087,2024-03-07 16:22:00,919.43,919.5,918.17,918.5,13410
39088,2024-03-07 16:23:00,918.63,919.67,918.05,919.1,6960
39089,2024-03-07 16:24:00,919.0,926.69,918.2,918.2,71786
39090,2024-03-07 16:25:00,918.2083,919.0,917.9,919.0,14101
39091,2024-03-07 16:26:00,918.62,920.48,918.51,919.69,8738
39092,2024-03-07 16:27:00,920.4,920.4,919.03,920.36,9085
39093,2024-03-07 16:28:00,919.88,925.0,919.88,923.1,23395
39094,2024-03-07 16:29:00,923.5,924.0,922.03,923.8,7590
39095,2024-03-07 16:30:00,923.06,923.79,922.32,922.32,5340
39096,2024-03-07 16:31:00,922.12,923.21,922.12,923.0,8238
39097,2024-03-07 16:32:00,923.2,923.2,922.12,922.12,4753
39098,2024-03-07 16:33:00,922.12,922.81,922.12,922.3,6571
39099,2024-03-07 16:34:00,922.15,922.17,920.62,921.03,12295
39100,2024-03-07 16:35:00,921.3,921.62,920.0,920.03,13118
39101,2024-03-07 16:36:00,920.0,920.98,919.23,920.98,9447
39102,2024-03-07 16:37:00,920.01,922.6165,920.01,922.6165,11441
39103,2024-03-07 16:38:00,922.43,923.21,922.01,922.6,7752
39104,2024-03-07 16:39:00,922.7,923.51,922.42,923.5,11893
39105,2024-03-07 16:40:00,923.66,924.43,923.51,924.0,13572
39106,2024-03-07 16:41:00,924.19,924.43,923.51,924.01,7851
39107,2024-03-07 16:42:00,924.0,924.73,923.75,924.0,13179
39108,2024-03-07 16:43:00,924.48,924.5,923.85,924.1,3323
39109,2024-03-07 16:44:00,924.1,924.5,923.5,923.5,3046
39110,2024-03-07 16:45:00,923.25,923.5,923.0,923.04,5281
39111,2024-03-07 16:46:00,922.61,923.0,922.4,922.82,2178
39112,2024-03-07 16:47:00,922.8,923.99,922.8,923.38,5076
39113,2024-03-07 16:48:00,923.5,923.95,923.01,923.95,4877
39114,2024-03-07 16:49:00,923.31,923.4,923.15,923.4,514
39115,2024-03-07 16:50:00,923.25,923.58,923.24,923.25,1699
39116,2024-03-07 16:51:00,923.4,924.53,923.4,924.5,17678
39117,2024-03-07 16:52:00,924.7,926.02,924.7,926.0,22140
39118,2024-03-07 16:53:00,926.0,926.88,925.5,926.59,14083
39119,2024-03-07 16:54:00,926.83,927.266,926.5001,926.99,17979
39120,2024-03-07 16:55:00,926.8,927.73,926.78,927.7,11626
39121,2024-03-07 16:56:00,927.47,927.57,926.6319,927.47,8061
39122,2024-03-07 16:57:00,927.0,927.0784,925.51,925.9999,4242
39123,2024-03-07 16:58:00,926.4,926.7,926.0,926.0,3243
39124,2024-03-07 16:59:00,925.88,926.11,925.5,926.0,3758
39125,2024-03-07 17:00:00,926.3,926.3,925.0,925.0,1651
39126,2024-03-07 17:01:00,925.05,925.5,925.0,925.3,2893
39127,2024-03-07 17:02:00,925.13,925.5,924.8,925.5,3269
39128,2024-03-07 17:03:00,925.0096,926.3,925.0096,926.14,4187
39129,2024-03-07 17:04:00,925.61,926.3,925.0,925.2,3713
39130,2024-03-07 17:05:00,925.205,926.3,925.205,926.0,6936
